term,course,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17_charge,q17,q18_charge,q18,q19_charge,q19
15-16_FA,MA241,5,5,5,4,5,3,4,5,4,4,5,5,4,4,5,4,0,,0,,0,
15-16_FA,MA241,5,5,3,3,4,4,4,5,,5,5,5,4,5,5,4,0,,0,,0,
15-16_FA,MA241,5,4,3,3,3,4,3,3,3,4,4,4,4,4,5,3,0,,0,,0,
15-16_FA,MA241,5,4,4,2,4,4,4,3,3,5,5,5,4,4,5,5,0,,0,,0,
15-16_FA,MA241,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,"Great teaching skills and style, easily understood.",0,,0,
15-16_FA,MA241,4,5,4,3,4,4,5,5,3,4,5,4,4,4,5,5,2,Proofing the theories first then showing many different examples in class was very helpful. Also having the practice exams on Tuesdays was very helpful.,1,Professor Briggs has no areas needing improvement.,3,Professor Briggs is a terrific calc. teacher and I can't wait for calc. 2 with him next semester.
15-16_FA,MA241,5,4,3,2,3,4,2,2,3,3,5,4,4,4,4,3,2,In some areas he methods of explaining the material made it extremely easy to understand.,-3,If a student does not understand the material the first time then they are in trouble because he only has one way of explaining things.,0,
15-16_FA,MA241,5,3,4,3,3,4,3,3,3,4,5,5,4,5,5,3,0,,0,,0,
15-16_FA,MA241,5,1,4,2,1,3,1,2,,3,3,3,2,4,3,1,0,,-2,He needs to actually teach instead of just writings things on the board and skipping steps.,-2,I did not learn very much material from the instructor.
15-16_FA,MA241,5,3,3,3,3,2,1,2,2,2,3,4,2,2,2,2,-2,The calendar he set up for what we will learn. We learned most of it on our own.,-3,Pretty much everywhere. His average test grades are hovering around a 50%. I don't know what the class average grade is. Possibly low as well.,0,Clearer path of teaching and understanding. He is new and will take time to adjust. He got better later in the year.
15-16_FA,MA241,5,4,4,4,5,4,5,4,3,5,5,5,4,5,5,5,2,His depth of knowledge and availability,-1,a few more examples,1,enjoyed this class
15-16_FA,MA241,5,5,4,4,5,3,3,4,3,4,5,5,3,4,4,3,3,He is very open and willing to help during his office hours.  He gets very excited about math,-3,He needs to work on his communication skills. Sometimes he won't speak clearly or will mumble in class. He needs to be more assertive and well spoken.  He needs to be more proactive in updating the grade book. I didn't know what my grade until October.  He needs to focus on more examples in class. He tends to focus on the conception concepts and not the execution of the problem. Also tests that are a blend of free response and multiple choice would be nice. And curves would be fantastic,0,
15-16_FA,MA241,5,4,4,3,4,5,5,5,3,5,5,5,5,5,5,5,2,"Very organized with lesson plans, easy to talk to and asks questions, goes into detail when asked and demonstrates how and why very clearly.",1,Nothing,2,"Great instructor, helped me with grey areas I had from previous teachers in high school."
15-16_FA,MA241,5,3,4,3,4,5,5,5,4,5,5,5,5,5,5,5,1,"What helped me the most to understand the material was the different types of examples that were giving in class, and the homework.",1,There are no areas that need improvement.,0,
15-16_FA,MA241,5,4,3,3,3,3,1,1,3,2,3,3,2,3,3,1,0,,-1,Discussing More in depth the type of information on the test.,0,
15-16_FA,MA241,5,4,4,2,4,4,4,4,3,4,4,5,4,4,4,4,1,Instructor was good at listening to student questions and concerns.,-1,Going through examples to fast.,0,
15-16_FA,MA241,5,4,3,3,3,3,4,2,3,3,4,4,4,3,3,3,2,Each main idea that was expected to be covered in this class was covered in depth and with many practice problems.,-2,"Some of the practice problems were either impossible to solve or would take a long time to solve, this hindered class time and my understanding of the topic.",0,
15-16_FA,MA241,5,4,3,3,4,4,4,3,3,3,4,4,5,4,5,3,0,,0,,0,
15-16_FA,MA241,5,2,,3,4,3,2,4,3,3,4,4,4,4,4,4,0,,-1,Dr. Briggs is a very smart man which can sometimes make his lessons difficult because occasionally he will do some tricky math in his head and not explain the steps he skipped.,0,
15-16_FA,MA241,5,3,4,3,4,4,3,4,4,4,3,3,4,4,4,3,1,The way he did not take any shortcuts when going through the problems.,1,None,0,
15-16_FA,MA241,5,3,3,4,3,4,3,2,3,3,4,4,4,4,4,4,2,His definitions on the work he did in class helped allot.,-1,Try not to skip simple steps in problems because it gets people confused,0,
15-16_FA,MA241,5,4,3,3,3,4,3,3,3,4,4,3,4,4,4,3,2,Being able to go in for help and explaining the material a different way.,-3,It is extremely difficult to understand exactly what he is talking about. I think he over complicates everything to the point where I can no longer understand. All the material is pretty much the same from high school calculus  but I'm struggling now and was excellent in high school.,3,"Great guy, funny, always willing to help, awesome to talk to and can explain concepts differently when I go in and ask for help during office hours."
